dice,iou,sensitivity,specificity,precision,hausdorff,patient_id
0.03353715315461159,0.017054557800292806,0.9999999999994408,0.0,0.017054557800292806,95.00526301210897,PatientID_0044
0.0164517592638731,0.008294105529785076,0.99999999999885,0.0,0.008294105529785076,79.20858539325141,PatientID_0013
0.010450780391693115,0.005252838134765575,0.9999999999981845,0.0,0.005252838134765575,96.43132271207318,PatientID_0014
0.007056996691972017,0.0035409927368163724,0.9999999999973068,0.0,0.0035409927368163724,100.78194282707592,PatientID_0033
0.01614966057240963,0.008140563964843672,0.9999999999988284,0.0,0.008140563964843672,98.31581764904364,PatientID_0032
0.0480751134455204,0.024629592895507577,0.9999999999996128,0.0,0.024629592895507577,74.4983221287567,PatientID_0079
0.01614966057240963,0.008140563964843672,0.9999999999988284,0.0,0.008140563964843672,98.31581764904364,PatientID_0018
0.021209362894296646,0.010718345642089741,0.9999999999991102,0.0,0.010718345642089741,81.30805618141414,PatientID_0006
0.009995796717703342,0.005023002624511671,0.9999999999981014,0.0,0.005023002624511671,96.05206921248495,PatientID_0066
0.006930096540600061,0.003477096557617154,0.9999999999972573,0.0,0.003477096557617154,85.26429498916883,PatientID_0034
0.013975974172353745,0.007037162780761652,0.9999999999986449,0.0,0.007037162780761652,100.78194282707592,PatientID_0007
0.04164082929491997,0.021263122558593545,0.9999999999995515,0.0,0.021263122558593545,87.92041856133307,PatientID_0003
0.042965780943632126,0.021954536437988073,0.9999999999995656,0.0,0.021954536437988073,89.3420393767682,PatientID_0038
0.02973688580095768,0.015092849731445169,0.9999999999993681,0.0,0.015092849731445169,84.35045939412541,PatientID_0036
0.00970495119690895,0.004876136779785109,0.9999999999980442,0.0,0.004876136779785109,75.43208866258443,PatientID_0074
0.035854071378707886,0.018254280090331858,0.9999999999994775,0.0,0.018254280090331858,77.44029958619737,PatientID_0083
0.010856502689421177,0.005457878112792917,0.9999999999982527,0.0,0.005457878112792917,90.04443347592343,PatientID_0084
